Date,Actual,Predicted
2013-11-11,[29.22584343],28.99326374053955
2013-11-12,[29.30334282],29.132157249450685
2013-11-13,[29.55305862],29.249784088134767
2013-11-14,[29.47555351],29.292922973632812
2013-11-15,[29.5358448],29.436549415588377
2013-11-18,[29.42389488],29.16659938812256
2013-11-19,[29.32056427],29.111403121948243
2013-11-20,[29.22584343],29.25124544143677
2013-11-21,[29.47555351],29.284829177856444
2013-11-22,[29.41529274],29.31995889663696
2013-11-25,[29.41529274],29.419418239593504
2013-11-26,[29.51862526],29.366636295318603
2013-11-27,[29.75112343],29.488134498596192
2013-11-29,[29.87167168],29.603096084594725
2013-12-02,[29.77695084],29.671636810302733
2013-12-03,[29.84584618],29.769889812469483
2013-12-04,[29.87167168],29.756717872619628
2013-12-05,[29.77695084],29.7172767829895
2013-12-06,[29.98362541],29.789954624176026
2013-12-09,[30.07834244],29.912752132415772
2013-12-10,[30.0180645],29.99610788345337
2013-12-11,[29.74251556],29.99464359283447
2013-12-12,[29.54445457],29.856006984710692
2013-12-13,[29.44973373],29.771787967681885
2013-12-16,[29.74251556],29.77971166610718
2013-12-17,[29.73389435],29.728993816375734
2013-12-18,[29.96639442],29.840160884857177
2013-12-19,[30.0180645],29.912233905792235
2013-12-20,[30.25257111],29.97561149597168
2013-12-23,[30.6506176],30.15042989730835
2013-12-24,[30.73716545],30.41701919555664
2013-12-26,[30.81504631],30.573469753265382
2013-12-27,[30.7890873],30.64722255706787
2013-12-30,[30.72850418],30.51649408340454
2013-12-31,[30.92754936],30.639136714935304
2014-01-02,[30.62466621],30.79247299194336
2014-01-03,[30.47757149],30.554443588256834
2014-01-06,[30.42564392],30.250394592285158
2014-01-07,[30.70255661],30.33510040283203
2014-01-08,[30.70255661],30.548176574707032
2014-01-09,[30.50352287],30.582968158721926
2014-01-10,[30.5640831],30.60951847076416
2014-01-13,[30.23526955],30.49590543746948
2014-01-14,[30.74581909],30.431870346069335
2014-01-15,[31.11791611],30.62631248474121
2014-01-16,[31.10927391],30.876397552490236
2014-01-17,[30.93619537],30.870780334472656
2014-01-21,[31.091959],30.999109477996825
2014-01-22,[31.05734825],30.995992450714112
2014-01-23,[30.99676895],30.884797134399413
2014-01-24,[30.39969254],30.84265256881714
2014-01-27,[30.11411285],30.57232442855835
2014-01-28,[29.93239975],30.317819576263428
2014-01-29,[29.69874001],30.081755237579344
2014-01-30,[30.06219864],29.927400188446043
2014-01-31,[30.13142776],30.02281036376953
2014-02-03,[29.4997139],30.092832202911378
2014-02-04,[29.61221123],29.820328845977784
2014-02-05,[29.63817024],29.947708740234376
2014-02-06,[29.96701241],29.7472931098938
2014-02-07,[30.37372589],30.032256984710692
2014-02-10,[30.43429756],30.071631031036375
2014-02-11,[30.80639076],30.319898624420166
2014-02-12,[30.92754936],30.604161586761474
2014-02-13,[31.15253258],30.8101176071167
2014-02-14,[31.21310234],31.009924449920653
2014-02-18,[31.23041344],31.11575309753418
2014-02-19,[31.12657356],31.138600120544435
2014-02-20,[31.23041344],31.083824825286865
2014-02-21,[31.10927391],30.952550773620604
2014-02-24,[31.23041344],31.096547451019287
2014-02-25,[31.14387894],30.884189548492433
2014-02-26,[31.16983986],31.181694679260254
2014-02-27,[31.42079735],31.174339714050294
2014-02-28,[31.45540619],31.27506866455078
2014-03-03,[31.11791611],31.334258728027343
2014-03-04,[31.52463913],31.274981002807618
